name,date,type,duration,caloriesBurned,targetPace,gymType,isCompleted,actualDuration,rpe,notes,totalWeightLifted,distance
Easy run,2026-07-13,running,48,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Conversational the whole way.",,8
VO2 5×1000m,2026-07-14,running,60,,Intervals 4:20–4:30/km,,0,,,"VO2 intervals — hard but smooth, around 3–5k effort. Sharpens top-end fitness and running economy so race pace feels easier. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 5×1000 m at interval pace 4:20–4:30/km, 2:30 jog recovery. Keep all reps even — no sprint finish.",,11
Legs,2026-07-15,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. 8–12 hard sets, 1–2 reps in reserve.",,
Easy bike (cross-train),2026-07-15,cycling,55,,,,0,,,Easy 50–60 min spin.,,
Pull,2026-07-16,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. 8–12 hard sets, 1–2 reps in reserve.",,
Threshold 2×15min,2026-07-16,running,62,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 2×15 min at threshold 4:45–4:55/km, 3 min jog between.",,11
Rest,2026-07-17,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 20k,2026-07-18,running,120,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Even effort throughout.",,20
Recovery run,2026-07-19,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-07-20,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. 8–12 hard sets, 1–2 reps in reserve.",,
Easy run,2026-07-20,running,48,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Easy.",,8
VO2 8×600m,2026-07-21,running,58,,Intervals 4:20–4:30/km,,0,,,"VO2 intervals — hard but smooth, around 3–5k effort. Sharpens top-end fitness and running economy so race pace feels easier. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 8×600 m at interval pace 4:20–4:30/km, 90s jog recovery.",,10.5
Legs,2026-07-22,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. 8–12 hard sets, 1–2 reps in reserve.",,
Easy bike (cross-train),2026-07-22,cycling,60,,,,0,,,Easy 60 min spin.,,
Pull,2026-07-23,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. 8–12 hard sets, 1–2 reps in reserve.",,
Threshold 3×10min,2026-07-23,running,62,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 3×10 min at threshold 4:45–4:55/km, 2 min jog between.",,11
Rest,2026-07-24,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 22k,2026-07-25,running,132,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Last 5 km at a steady effort (about 5:20–5:30/km).",,22
Recovery run,2026-07-26,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-07-27,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy run,2026-07-27,running,36,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Recovery week — very easy.",,6
Speed 6×400m,2026-07-28,running,50,,Intervals 4:20–4:30/km,,0,,,"VO2 intervals — hard but smooth, around 3–5k effort. Sharpens top-end fitness and running economy so race pace feels easier. Cutback week — short and snappy. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 6×400 m at interval pace 4:20–4:30/km (or a touch faster), full recovery jog. Relaxed and fast.",,9
Legs,2026-07-29,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy bike (cross-train),2026-07-29,cycling,40,,,,0,,,Easy 40 min spin.,,
Pull,2026-07-30,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Tempo 20 min,2026-07-30,running,50,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Cutback week. Warm up 12 min. Main set: 20 min at threshold 4:45–4:55/km. Cool down 8 min.",,9
Rest,2026-07-31,rest,0,,,,0,,,Full rest.,,
Long run 16k,2026-08-01,running,96,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Cutback long run — relaxed, let the training soak in.",,16
Recovery run,2026-08-02,running,38,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,6
Push,2026-08-03,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy run,2026-08-03,running,48,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Easy.",,8
Threshold 4×8min,2026-08-04,running,65,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 4×8 min at threshold 4:45–4:55/km, 90s jog between.",,12
Legs,2026-08-05,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy bike (cross-train),2026-08-05,cycling,55,,,,0,,,Easy 55 min spin.,,
Pull,2026-08-06,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Race pace 6k,2026-08-06,running,60,,Race pace 5:00–5:10/km,,0,,,Race-pace work — grooves your goal 30k rhythm at 5:00–5:10/km until it feels automatic. Settle in and stay relaxed. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 6 km continuous at 30k race pace 5:00–5:10/km.,,11
Rest,2026-08-07,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 22k,2026-08-08,running,132,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Run the middle 8 km at 30k race pace 5:00–5:10/km, easy either side.",,22
Recovery run,2026-08-09,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-08-10,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy run,2026-08-10,running,48,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Easy.",,8
VO2 5×3min,2026-08-11,running,60,,Intervals 4:20–4:30/km,,0,,,"VO2 intervals — hard but smooth, around 3–5k effort. Sharpens top-end fitness and running economy so race pace feels easier. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 5×3 min at interval pace 4:20–4:30/km, 2:00 jog between. Keeps your top-end sharp during the build.",,11
Legs,2026-08-12,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy bike (cross-train),2026-08-12,cycling,60,,,,0,,,Easy 60 min spin.,,
Pull,2026-08-13,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Race pace 8k,2026-08-13,running,66,,Race pace 5:00–5:10/km,,0,,,Race-pace work — grooves your goal 30k rhythm at 5:00–5:10/km until it feels automatic. Settle in and stay relaxed. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 8 km at 30k race pace 5:00–5:10/km.,,12
Rest,2026-08-14,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 24k,2026-08-15,running,144,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Include 2×5 km at 30k race pace 5:00–5:10/km, 5 min easy between the blocks.",,24
Recovery run,2026-08-16,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-08-17,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy run,2026-08-17,running,54,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Easy.",,9
Threshold 3×12min,2026-08-18,running,70,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 3×12 min at threshold 4:45–4:55/km, 2 min jog between.",,13
Legs,2026-08-19,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy bike (cross-train),2026-08-19,cycling,60,,,,0,,,Easy 60 min spin.,,
Pull,2026-08-20,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Race pace 10k,2026-08-20,running,72,,Race pace 5:00–5:10/km,,0,,,Race-pace work — grooves your goal 30k rhythm at 5:00–5:10/km until it feels automatic. Settle in and stay relaxed. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 10 km at 30k race pace 5:00–5:10/km.,,13
Rest,2026-08-21,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 26k,2026-08-22,running,156,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Finish with the last 8 km at 30k race pace 5:00–5:10/km — practise closing strong and fuelling.",,26
Recovery run,2026-08-23,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-08-24,gym,50,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Easy run,2026-08-24,running,36,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Low-volume week — you race a 10k on Saturday, so keep everything genuinely easy.",,6
Primer + strides,2026-08-25,running,32,,Easy 5:45–6:15/km,,0,,,Easy 5 km + 4×20s strides at 4:20–4:30/km to wake the legs up. Nothing hard — you are two days from the 10k.,,5
Legs (deload),2026-08-26,gym,40,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Deload: light loads, 4–5 easy sets, no soreness. Protect the legs for Saturday.",,
Easy bike (cross-train),2026-08-26,cycling,40,,,,0,,,"Easy 40 min spin, keep it gentle.",,
Pull,2026-08-27,gym,45,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Maintenance volume (~6–8 sets), keep 2–3 reps in reserve — do not chase PRs during the build.",,
Shakeout + strides,2026-08-27,running,30,,Easy 5:45–6:15/km,,0,,,"Easy 5 km + 3×20s strides. Loosen up, stay fresh.",,5
Rest,2026-08-28,rest,0,,,,0,,,"Full rest. Hydrate well, easy day on the feet — 10k time trial tomorrow.",,
🎯 10k GOAL RUN (sub-40 attempt),2026-08-29,running,45,,Goal 4:00–4:20/km,,0,,,"Goal 10k time trial — go for it! Off your 1:42 half, mid-40s is today's realistic fitness, so treat 40:00 as the stretch ceiling and chase a big PR. Warm up 15–20 min easy with 3–4 strides. Pacing: even splits — through 5 km around 20:00 (4:00/km) if you're genuinely gunning for sub-40, or 21:00–21:30 for a strong, controlled PR. Hold form when it bites, then empty the tank the last 2 km. Flat course or track. Cool down 10 min easy.",,10
Recovery run,2026-08-30,running,38,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Easy shakeout the day after your 10k — walk/jog is fine.,,6
Push,2026-08-31,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Maintenance only: cut sets ~30%, moderate loads, protect the legs for the long run.",,
Easy run,2026-08-31,running,54,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Easy — a big week is coming.",,9
Threshold 4×10min,2026-09-01,running,72,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 4×10 min at threshold 4:45–4:55/km, 2 min jog between.",,13
Legs,2026-09-02,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Maintenance only: cut sets ~30%, moderate loads, protect the legs for the long run.",,
Easy bike (cross-train),2026-09-02,cycling,50,,,,0,,,"Easy 50 min spin, keep it gentle.",,
Pull,2026-09-03,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Maintenance only: cut sets ~30%, moderate loads, protect the legs for the long run.",,
Race pace 12k,2026-09-03,running,78,,Race pace 5:00–5:10/km,,0,,,Race-pace work — grooves your goal 30k rhythm at 5:00–5:10/km until it feels automatic. Settle in and stay relaxed. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 12 km at 30k race pace 5:00–5:10/km — your longest continuous race-pace effort.,,14
Rest,2026-09-04,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 28k,2026-09-05,running,168,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Include 2×6 km at 30k race pace 5:00–5:10/km, 6 min easy between. Full race-day fuelling rehearsal.",,28
Recovery run,2026-09-06,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-09-07,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Maintenance only: cut sets ~30%, moderate loads, protect the legs for the long run.",,
Easy run,2026-09-07,running,48,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Easy.",,8
Cruise 6×1000m,2026-09-08,running,72,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 6×1000 m at threshold 4:45–4:55/km, 90s jog between.",,13
Legs,2026-09-09,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Maintenance only: cut sets ~30%, moderate loads, protect the legs for the long run.",,
Easy bike (cross-train),2026-09-09,cycling,45,,,,0,,,Easy 45 min spin.,,
Pull,2026-09-10,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Maintenance only: cut sets ~30%, moderate loads, protect the legs for the long run.",,
Race pace 8k,2026-09-10,running,66,,Race pace 5:00–5:10/km,,0,,,"Race-pace work — grooves your goal 30k rhythm at 5:00–5:10/km until it feels automatic. Settle in and stay relaxed. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 8 km at 30k race pace 5:00–5:10/km, then relax.",,12
Rest,2026-09-11,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 30k (dress rehearsal),2026-09-12,running,180,,Race pace 5:00–5:10/km,,0,,,"Peak session and full dress rehearsal. Easy for the first 15 km, then 12–15 km at 30k race pace 5:00–5:10/km. Use race kit, race shoes, your gels and your real start-time breakfast — nothing new on race day.",,30
Recovery run,2026-09-13,running,50,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,8
Push,2026-09-14,gym,55,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Light: upper focus, minimal legs, mobility. Deload week — arrive at the start line fresh.",,
Easy run,2026-09-14,running,42,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Volume drops now — the legs will start feeling springy.",,7
Threshold 3×8min,2026-09-15,running,60,,Threshold 4:45–4:55/km,,0,,,"Threshold — comfortably-hard, roughly 1-hour race effort. Lifts the pace you can hold before lactate builds: the decisive gear for a 30k. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 3×8 min at threshold 4:45–4:55/km, 90s jog between. Sharp, not exhausting — finish feeling you could do more.",,11
Legs,2026-09-16,gym,55,,,Legs,0,,,"Legs — squat or leg press, RDL/hamstring curl, split squats, calves, core. Light: upper focus, minimal legs, mobility. Deload week — arrive at the start line fresh.",,
Easy bike (cross-train),2026-09-16,cycling,40,,,,0,,,Easy 40 min spin (optional — full rest is fine).,,
Pull,2026-09-17,gym,55,,,Pull,0,,,"Pull — rows, lat pulldown/chins, rear delts, biceps, face pulls. Light: upper focus, minimal legs, mobility. Deload week — arrive at the start line fresh.",,
Race pace 6k,2026-09-17,running,55,,Race pace 5:00–5:10/km,,0,,,Race-pace work — grooves your goal 30k rhythm at 5:00–5:10/km until it feels automatic. Settle in and stay relaxed. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 6 km at 30k race pace 5:00–5:10/km.,,10
Rest,2026-09-18,rest,0,,,,0,,,Full rest or 10–15 min mobility. Keep the legs fresh for the long run.,,
Long run 20k,2026-09-19,running,120,,Easy 5:45–6:15/km,,0,,,"Long run — the backbone of 30k prep, building fatigue resistance. Ease in around 5:45–6:15/km and fuel every 30–40 min. Last 6 km at 30k race pace 5:00–5:10/km. Your final longer effort before the race.",,20
Recovery run,2026-09-20,running,38,,Recovery 6:15–6:45/km,,0,,,Recovery jog — deliberately slow (6:15–6:45/km) to flush the legs. Effort over pace. Optional easy 20 min bike instead if the legs are sore.,,6
Push (light),2026-09-21,gym,35,,,Push,0,,,"Push — bench/incline press, overhead press, lateral raises, triceps. Deload: 3–4 easy sets, technique only, no soreness. Last lift before the race.",,
Easy + strides,2026-09-21,running,36,,Easy 5:45–6:15/km,,0,,,"Easy aerobic — builds your engine and speeds recovery. Keep it conversational in the 5:45–6:15/km range; if unsure, run slower. Easy 6 km + 4×20s strides. Stay loose and relaxed.",,6
Sharpener 5×2min,2026-09-22,running,45,,Threshold 4:45–4:55/km,,0,,,"Race-week primer to keep the legs snappy — not a workout to fatigue you. Warm up 15 min easy with a few strides; cool down 10 min easy. Main set: 5×2 min at threshold 4:45–4:55/km, 2 min jog between. Stop feeling fresh.",,8
Easy bike or rest,2026-09-23,cycling,30,,,,0,,,"Optional easy 30 min spin, or full rest. Listen to the legs.",,
Primer 5k + 2k @ pace,2026-09-24,running,42,,Race pace 5:00–5:10/km,,0,,,"Easy 5 km, then 2 km at 30k race pace 5:00–5:10/km to rehearse the feel, plus 4×20s strides. Legs primed, body rested.",,7
Rest,2026-09-25,rest,0,,,,0,,,"Full rest. Hydrate, top up carbs, lay out your kit and pin your number. Early night.",,
🏁 30k RACE,2026-09-26,running,155,,Race pace 5:00–5:10/km,,0,,,"Race day! Go out controlled at 30k race pace 5:00–5:10/km (about 2:30–2:34 finish) — resist the fast early crowd. Settle through halfway, then from 22 km start pushing, and empty the tank the last 5–8 km. Fuel every 30–40 min and take fluids at every station. Trust the training — you've earned this.",,30
Rest,2026-09-27,rest,0,,,,0,,,"Recovery: easy walk or a gentle 20 min spin. Refuel, rest, celebrate. 🎉",,
